"Incident ID","Incident Date","State","City Or County","Address","# Victims Killed","# Victims Injured","# Subjects-Suspects Killed","# Subjects-Suspects Injured","# Subjects-Suspects Arrested","Operations","Year","long","lat"
2065252,"July 17, 2021","Oregon","Portland","300  SW 3rd Ave",1,6,0,0,0,"N/A","2021",-82.981861,39.983332
2066189,"July 17, 2021","Illinois","Chicago","5006 W Ohio St",0,6,0,0,0,"N/A","2021",-87.7509324601629,41.89153955
2065634,"July 16, 2021","California","Sacramento","L St",2,4,0,0,2,"N/A","2021",-149.9036471,61.2190742
2065009,"July 16, 2021","Pennsylvania","Philadelphia","2700  Ruby Terrace",1,4,0,0,0,"N/A","2021",-75.214564,39.93259
2066249,"July 16, 2021","South Carolina","Greenville","840 Mauldin Rd",1,3,0,0,0,"N/A","2021",-82.3512904390903,34.78158935
2064260,"July 16, 2021","New Hampshire","Manchester","I-293",0,4,0,0,0,"N/A","2021",11.3927685,47.2654296
2064992,"July 16, 2021","District of Columbia","Washington","2900  MLK Ave SE",1,5,0,0,1,"N/A","2021",-122.6613374,45.5081776
2065118,"July 16, 2021","Illinois","Chicago","647 N Lockwood Ave",1,4,0,0,2,"N/A","2021",-87.7577014558281,41.8925779
2063495,"July 15, 2021","Texas","Levelland","1105 10th St",1,4,0,1,1,"N/A","2021",-82.4396142934091,38.41102755
2065533,"July 15, 2021","Massachusetts","Boston","265 Centre St",0,4,0,0,0,"N/A","2021",-70.9860053370529,42.56935125
2063897,"July 15, 2021","Missouri","Lake Ozark","1312 Bagnell Dam Blvd",1,2,0,1,1,"N/A","2021",-92.6347008299311,38.2001051222322
2062097,"July 14, 2021","Illinois","Chicago","4600  W Monroe St",0,5,0,0,0,"N/A","2021",-85.4388091681838,40.1056388590046
2062359,"July 14, 2021","Illinois","Chicago","1533 W 79th St",0,5,0,0,1,"N/A","2021",-86.1870977993545,39.89712455
2063394,"July 14, 2021","Delaware","Claymont","50  Balfour Ave",2,2,0,0,0,"N/A","2021",-79.2993578521739,43.6908037347826
2060865,"July 13, 2021","Indiana","Indianapolis","4200  Arborcrest Dr",1,3,0,0,1,"N/A","2021",-86.022896,39.833398
2060949,"July 13, 2021","Michigan","Detroit","9855 Chalmers St",1,5,0,1,1,"N/A","2021",-82.9692683,42.4119444
2060706,"July 12, 2021","Pennsylvania","Beaver Falls","900 9th St",2,3,0,0,1,"N/A","2021",-80.0894482622521,38.21833005
2060293,"July 12, 2021","New Jersey","Iselin","515 US-1",0,4,0,0,4,"N/A","2021",-71.1842483325719,42.1940422
2060605,"July 12, 2021","New York","Corona (Queens)","180th St",0,4,0,0,0,"N/A","2021",-96.4470107,43.3899207
2059440,"July 11, 2021","Texas","El Paso (Socorro)","1300 Joe Battle Blvd",1,5,0,0,0,"N/A","2021",-106.2744321,31.7128767
2059404,"July 10, 2021","Pennsylvania","Philadelphia","W Butler St",0,6,0,0,0,"N/A","2021",-98.1953272,26.211971
2058950,"July 10, 2021","Massachusetts","Boston","34 Cameron St",0,4,0,0,1,"N/A","2021",174.7910944,-41.2580172
2058837,"July 10, 2021","Ohio","Springfield","405 S Burnett Rd",1,3,0,0,0,"N/A","2021",-83.7703728686869,39.9165126262626
2058421,"July 9, 2021","California","Los Angeles","7114 W Manchester Ave",0,4,0,0,0,"N/A","2021",-118.417131000212,33.9596573549056
2057427,"July 8, 2021","Connecticut","Hartford","175 Nelson St",0,4,0,0,5,"N/A","2021",168.366596,-46.4260389
2053262,"July 5, 2021","Ohio","Toledo","Lawrence Ave",1,11,0,0,0,"N/A","2021",-88.0594167,41.9620456
2053500,"July 5, 2021","California","Santa Rosa","1500  Beachwood Dr",1,3,0,0,0,"N/A","2021",-80.075674,34.339314
2055252,"July 5, 2021","New York","Buffalo","50  Donovan Dr",1,3,0,0,2,"N/A","2021",-73.4417492564264,40.8608823105485
2053048,"July 5, 2021","Illinois","Chicago","6108 S Wabash Ave",2,4,0,0,0,"N/A","2021",-98.3830919294042,40.5085882530358
2052524,"July 4, 2021","California","Thermal","Jackson St",0,4,0,0,0,"N/A","2021",-74.155277,40.7338114
2054233,"July 4, 2021","Ohio","Cleveland","Kinsman Rd",0,4,0,0,0,"N/A","2021",-81.2890315,41.4631592
2054132,"July 4, 2021","Illinois","Peoria","600  Haungs Ave",1,3,0,0,1,"N/A","2021",-89.5640102883268,40.71409842023
2053508,"July 4, 2021","Nevada","North Las Vegas","1200  W Helen Ave",2,7,0,0,0,"N/A","2021",-82.0495983,26.9293026
2053563,"July 4, 2021","Illinois","Rantoul","400  S Maplewood Dr",0,5,0,0,0,"N/A","2021",-88.13659,40.308632
2052689,"July 4, 2021","Illinois","Danville","12 S College St",0,4,0,0,0,"N/A","2021",-3.30906365,57.6488864
2053786,"July 4, 2021","Missouri","Kansas City","E 43rd St",0,4,0,0,0,"N/A","2021",-94.5835965,39.049262
2053346,"July 4, 2021","Texas","Dallas","8200  Towns St",3,3,0,0,3,"N/A","2021",-96.761767,32.916699
2053365,"July 4, 2021","Texas","Dallas","3700 Dixon Ave",0,5,0,0,0,"N/A","2021",-96.7368854554009,32.7618336
2052353,"July 4, 2021","Texas","Fort Worth","3400  Horne St",0,8,0,0,0,"N/A","2021",-80.070349,40.454079
2052342,"July 4, 2021","Nebraska","Omaha","2311 N 24th St",1,4,0,0,1,"N/A","2021",-116.218399938776,43.640984
2052058,"July 3, 2021","North Carolina","Chadbourn","Broadway Rd",3,1,0,0,0,"N/A","2021",80.2865644,13.0976001
2051763,"July 3, 2021","Pennsylvania","Lancaster","50  W Orange St",0,4,0,0,0,"N/A","2021",-76.3074653,40.1555953
2052471,"July 3, 2021","Georgia","Swainsboro","229 S Main St",1,3,0,0,1,"N/A","2021",-72.9777222,43.4683015
2052346,"July 3, 2021","Illinois","Chicago","1000  W 89th St",0,4,0,0,0,"N/A","2021",-118.291948,33.956802
2050836,"July 2, 2021","Virginia","Norfolk","923 Madison Ave",0,4,0,0,1,"N/A","2021",-81.0435723,29.2176661
2051190,"July 2, 2021","Pennsylvania","Philadelphia","7700  Ogontz Ave",1,4,0,0,0,"N/A","2021",-75.1576859,40.0708781
2050972,"July 2, 2021","Illinois","Champaign","704 N Hickory St",1,4,0,0,1,"N/A","2021",-117.078758,33.13057
2050593,"July 1, 2021","Illinois","Chicago","6500  S Halsted St",0,7,0,0,0,"N/A","2021",-87.644798,41.775988
2050151,"July 1, 2021","South Carolina","Spartanburg","225 Amelia St",1,4,1,0,0,"N/A","2021",-81.9502144099208,34.962914
2050353,"July 1, 2021","Virginia","Chesapeake","1200  Seaboard Ave",2,2,0,0,0,"N/A","2021",-84.7549951722129,33.882442495011
2049419,"June 30, 2021","Illinois","Chicago","2200  S Millard Ave",0,4,0,0,0,"N/A","2021",-87.716325,41.851524
2049907,"June 30, 2021","Louisiana","Marrero","6500  Lapalco Blvd",0,4,0,0,0,"N/A","2021",-90.1189160730377,29.8765806167262
2049845,"June 30, 2021","Texas","Houston","12101 Fondren Rd",3,1,0,0,1,"N/A","2021",-95.508232,29.647181
2050167,"June 30, 2021","Delaware","Dover","100  S New St",1,3,0,0,0,"N/A","2021",-1.8999756,52.4792602
2046714,"June 27, 2021","Illinois","Chicago","2000  E 71st St",1,5,0,0,0,"N/A","2021",-86.126677,39.883331
2046574,"June 27, 2021","Illinois","Saint Charles","2051 Lincoln Hwy",1,3,0,0,0,"N/A","2021",-89.2492694842188,41.866678508427
2046897,"June 27, 2021","Illinois","Chicago","6300  South Artesian Ave",1,10,0,0,0,"N/A","2021",-87.684969,41.779116
2047170,"June 27, 2021","Tennessee","Memphis","2500  Dunn Ave",3,1,0,0,1,"N/A","2021",-89.976964,35.091359
2047726,"June 27, 2021","North Carolina","Greensboro","801 Province Spring Cir",0,4,0,0,0,"N/A","2021",-79.8011026148556,36.066354334108
2046781,"June 26, 2021","Texas","Houston","4902 Laura Koppe Rd",1,3,0,0,0,"N/A","2021",-95.3187846938776,29.8404522244898
2045579,"June 26, 2021","Illinois","Chicago","6100  N McCormick Blvd",1,3,0,0,0,"N/A","2021",-87.7116585,42.0045387
2047787,"June 26, 2021","Alabama","Fort Deposit","Forest Dr",1,3,0,0,1,"N/A","2021",-80.1817231,35.377642
2045043,"June 25, 2021","Ohio","Columbus","I-670",0,4,0,0,0,"N/A","2021",11.3927685,47.2654296
2045564,"June 25, 2021","Illinois","Chicago","7000  S Indiana Ave",0,4,0,0,0,"N/A","2021",-87.620269,41.76731
2044701,"June 25, 2021","New York","Bronx","Zerega Ave",0,5,0,0,0,"N/A","2021",-73.8466904,40.8367792
2044733,"June 24, 2021","Florida","Gainesville","4701 NW 6th St",1,4,0,0,3,"N/A","2021",-80.11728,26.471667
2043834,"June 23, 2021","Alabama","Montgomery","100  Rotary St",2,2,0,0,0,"N/A","2021",-77.3632,35.612583
2043465,"June 23, 2021","New York","Buffalo","114 Hickory St",0,4,0,0,0,"N/A","2021",-73.0243550059419,40.92410725
2043898,"June 23, 2021","Illinois","Chicago","4900  W Hubbard St",0,4,0,0,0,"N/A","2021",-87.7482411932304,41.8888487
